entity|importance|category|chunk_id|type
alaska|5|organisation|902292e89f814a7daa128be1540458fe|concept
google summer of code|5|event|902292e89f814a7daa128be1540458fe|concept
mentor|3|occupation|902292e89f814a7daa128be1540458fe|concept
open-source|3|concept|902292e89f814a7daa128be1540458fe|concept
software|3|concept|902292e89f814a7daa128be1540458fe|concept
development|3|concept|902292e89f814a7daa128be1540458fe|concept
alaska|5|place|f854d57405064d5a8d4aa3f6f2314d1e|concept
anchorage|4|place|f854d57405064d5a8d4aa3f6f2314d1e|concept
alaska developer alliance|3|organisation|f854d57405064d5a8d4aa3f6f2314d1e|concept
university of alaska anchorage|3|organisation|f854d57405064d5a8d4aa3f6f2314d1e|concept
university of alaska fairbanks|3|organisation|f854d57405064d5a8d4aa3f6f2314d1e|concept
google|3|organisation|f854d57405064d5a8d4aa3f6f2314d1e|concept
healthcare|3|concept|f854d57405064d5a8d4aa3f6f2314d1e|concept
climate science|3|concept|f854d57405064d5a8d4aa3f6f2314d1e|concept
polar science|3|concept|f854d57405064d5a8d4aa3f6f2314d1e|concept
circumpolar north|3|place|f854d57405064d5a8d4aa3f6f2314d1e|concept
contributor guidelines|1|document|2a800036ce784063b9b0aeed28746e3d|concept
email|1|object|2a800036ce784063b9b0aeed28746e3d|concept
email communication|1|event|2a800036ce784063b9b0aeed28746e3d|concept
erosion modeling|3|concept|2a800036ce784063b9b0aeed28746e3d|concept
frank witmer|2|person|2a800036ce784063b9b0aeed28746e3d|concept
research paper|3|document|2a800036ce784063b9b0aeed28746e3d|concept
submit|1|event|2a800036ce784063b9b0aeed28746e3d|concept
university of alaska|2|organisation|2a800036ce784063b9b0aeed28746e3d|concept
arctic|3|place|88d8c61fddbc4d14b8f562aa688f7f94|concept
coastal erosion|4|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
alaska|3|place|88d8c61fddbc4d14b8f562aa688f7f94|concept
climate change|4|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
coastline|4|place|88d8c61fddbc4d14b8f562aa688f7f94|concept
rate|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
change|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
community|3|organisation|88d8c61fddbc4d14b8f562aa688f7f94|concept
mitigate|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
adapt|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
model|3|object|88d8c61fddbc4d14b8f562aa688f7f94|concept
linear|2|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
historical|2|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
coastline position|3|object|88d8c61fddbc4d14b8f562aa688f7f94|concept
rate|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
future|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
sea ice|3|object|88d8c61fddbc4d14b8f562aa688f7f94|concept
wave energy|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
temperature|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
quantity|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
digitize|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
coastline|4|place|88d8c61fddbc4d14b8f562aa688f7f94|concept
process|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
manual|2|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
photointerpretation|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
improve|3|concept|88d8c61fddbc4d14b8f562aa688f7f94|concept
coastline|4|concept|624525f075e845c789de613f599036fc|concept
imagery|3|object|624525f075e845c789de613f599036fc|concept
model|4|object|624525f075e845c789de613f599036fc|concept
planetlabs|3|organisation|624525f075e845c789de613f599036fc|concept
training|3|event|624525f075e845c789de613f599036fc|concept
data|3|object|624525f075e845c789de613f599036fc|concept
algorithm|3|object|624525f075e845c789de613f599036fc|concept
thresholding|3|event|624525f075e845c789de613f599036fc|concept
water|3|concept|624525f075e845c789de613f599036fc|concept
python|2|object|624525f075e845c789de613f599036fc|concept
python|4|concept|4e603dbeaf014561af08f002d13d4584|concept
multi-band satellite imagery|4|concept|4e603dbeaf014561af08f002d13d4584|concept
geospatial data processing|4|concept|4e603dbeaf014561af08f002d13d4584|concept
machine learning|4|concept|4e603dbeaf014561af08f002d13d4584|concept
zeromq|4|concept|4e603dbeaf014561af08f002d13d4584|concept
concore|4|concept|4e603dbeaf014561af08f002d13d4584|concept
mark arnold|3|person|4e603dbeaf014561af08f002d13d4584|concept
pradeeban kathiravelu|3|person|4e603dbeaf014561af08f002d13d4584|concept
concore|5|concept|9707c2d517e0461f8b125c0a139cdccb|concept
zeromq|5|concept|9707c2d517e0461f8b125c0a139cdccb|concept
neuromodulation|4|concept|9707c2d517e0461f8b125c0a139cdccb|concept
communication|4|concept|9707c2d517e0461f8b125c0a139cdccb|concept
study|3|event|9707c2d517e0461f8b125c0a139cdccb|concept
framework|3|concept|9707c2d517e0461f8b125c0a139cdccb|concept
program|3|object|9707c2d517e0461f8b125c0a139cdccb|concept
node|3|object|9707c2d517e0461f8b125c0a139cdccb|concept
forest|3|concept|dc236dafc1d148b0983abb3a6e1abdba|concept
hypergraph|3|concept|dc236dafc1d148b0983abb3a6e1abdba|concept
communication|3|concept|dc236dafc1d148b0983abb3a6e1abdba|concept
study|3|concept|dc236dafc1d148b0983abb3a6e1abdba|concept
zeromq|3|concept|dc236dafc1d148b0983abb3a6e1abdba|concept
communication|3|concept|2c4b52bab97345f6a9349ee5b07ea1a0|concept
mechanism|2|concept|2c4b52bab97345f6a9349ee5b07ea1a0|concept
execution|3|concept|2c4b52bab97345f6a9349ee5b07ea1a0|concept
cluster|3|concept|2c4b52bab97345f6a9349ee5b07ea1a0|concept
zeromq|4|object|2c4b52bab97345f6a9349ee5b07ea1a0|concept
zeromq|4|concept|3c85cae010654d018b312cafc2386858|concept
python|4|concept|3c85cae010654d018b312cafc2386858|concept
matlab|3|concept|3c85cae010654d018b312cafc2386858|concept
c++|3|concept|3c85cae010654d018b312cafc2386858|concept
shared-memory|3|concept|3c85cae010654d018b312cafc2386858|concept
concore|5|organisation|3c85cae010654d018b312cafc2386858|concept
communication|4|concept|3c85cae010654d018b312cafc2386858|concept
programming language|3|concept|3c85cae010654d018b312cafc2386858|concept
dicom|5|concept|5c0d4abb26b94fc38463f30f74fae63c|concept
dicom implementation|4|concept|5c0d4abb26b94fc38463f30f74fae63c|concept
dicom queue|3|concept|5c0d4abb26b94fc38463f30f74fae63c|concept
dicom endpoint|3|concept|5c0d4abb26b94fc38463f30f74fae63c|concept
dicom communication|3|concept|5c0d4abb26b94fc38463f30f74fae63c|concept
dicom standard|3|concept|5c0d4abb26b94fc38463f30f74fae63c|concept
